X	Y	Region	Terrain
3	-1	ferals	grassland
4	-1	ferals	grassland
5	-1	ferals	grassland
-8	0	ferals	river_shallow
-7	0	ferals	grassland
-6	0	ferals	grassland
-5	0	ferals	grassland
-4	0	ferals	grassland
-3	0	ferals	grassland
-2	0	midlands	grassland
-1	0	midlands	grassland
0	0	midlands	grassland
1	0	ferals	grassland
2	0	midlands	grassland
3	0	ferals	grassland
4	0	ferals	grassland
5	0	ferals	grassland
-9	1	ferals	river_shallow
-8	1	ferals	river_shallow
-7	1	ferals	grassland
-6	1	ferals	grassland
-5	1	ferals	grassland
-4	1	ferals	grassland
-3	1	ferals	grassland
-2	1	ferals	grassland
-1	1	ferals	grassland
0	1	midlands	grassland
1	1	ferals	grassland
2	1	midlands	grassland
3	1	ferals	grassland
4	1	ferals	grassland
5	1	ferals	grassland
-10	2	ferals	river_shallow
-9	2	ferals	river_shallow
-8	2	ferals	grassland
-7	2	ferals	grassland
-6	2	ferals	grassland
-5	2	ferals	grassland
-4	2	ferals	grassland
-3	2	ferals	grassland
-2	2	ferals	grassland
-1	2	ferals	grassland
0	2	midlands	grassland
1	2	midlands	grassland
2	2	midlands	grassland
3	2	ferals	grassland
4	2	ferals	grassland
5	2	ferals	grassland
-10	3	ferals	river_shallow
-8	3	gods_glade	grassland
-7	3	gods_glade	grassland
-6	3	gods_glade	grassland
-5	3	gods_glade	grassland
-4	3	ferals	grassland
-3	3	ferals	grassland
-2	3	ferals	grassland
-1	3	ferals	grassland
0	3	ferals	grassland
1	3	midlands	grassland
2	3	midlands	grassland
3	3	ferals	grassland
4	3	ferals	grassland
-10	4	ferals	river_shallow
-8	4	gods_glade	grassland
-7	4	gods_glade	grassland
-6	4	gods_glade	grassland
-5	4	gods_glade	grassland
-4	4	ferals	grassland
-3	4	ferals	grassland
-2	4	ferals	grassland
-1	4	ferals	grassland
0	4	ferals	grassland
1	4	midlands	grassland
2	4	midlands	grassland
3	4	ferals	grassland
4	4	ferals	grassland
-10	5	ferals	river_shallow
-9	5	ferals	river_shallow
-8	5	ferals	grassland
-7	5	ferals	grassland
-6	5	ferals	grassland
-5	5	ferals	grassland
-4	5	ferals	grassland
-3	5	ferals	grassland
-2	5	ferals	grassland
-1	5	ferals	grassland
0	5	ferals	grassland
1	5	ferals	grassland
2	5	ferals	grassland
3	5	ferals	grassland
4	5	ferals	grassland
-9	6	ferals	river_shallow
-8	6	ferals	grassland
-7	6	ferals	grassland
-6	6	ferals	grassland
-5	6	ferals	grassland
-4	6	ferals	grassland
-3	6	ferals	grassland
-2	6	ferals	grassland
-1	6	ferals	grassland
0	6	ferals	grassland
1	6	ferals	grassland
2	6	ferals	grassland
3	6	ferals	grassland
4	6	ferals	grassland
-9	7	ferals	river_shallow
-8	7	ferals	river_shallow
-8	8	ferals	river_shallow
-8	9	ferals	river_shallow
-8	10	ferals	river_shallow
-8	11	ferals	river_shallow
-8	12	ferals	river_shallow
-8	13	ferals	river_shallow
-24	14	ferals	river_shallow
-23	14	ferals	river_shallow
-22	14	ferals	river_shallow
-21	14	ferals	river_shallow
-9	14	ferals	river_shallow
-8	14	ferals	river_shallow
-25	15	ferals	river_shallow
-24	15	ferals	river_shallow
-21	15	ferals	river_shallow
-20	15	ferals	river_shallow
-19	15	ferals	river_shallow
-18	15	ferals	river_shallow
-17	15	ferals	river_shallow
-12	15	ferals	river_shallow
-11	15	ferals	river_shallow
-10	15	ferals	river_shallow
-9	15	ferals	river_shallow
-25	16	ferals	river_shallow
-17	16	ferals	river_shallow
-13	16	ferals	river_shallow
-12	16	ferals	river_shallow
-25	17	ferals	river_shallow
-17	17	ferals	river_shallow
-16	17	ferals	river_shallow
-13	17	ferals	river_shallow
-25	18	ferals	river_shallow
-24	18	ferals	river_shallow
-16	18	ferals	river_shallow
-13	18	ferals	river_shallow
-24	19	ferals	river_shallow
-23	19	ferals	river_shallow
-16	19	ferals	river_shallow
-14	19	ferals	river_shallow
-13	19	ferals	river_shallow
-23	20	ferals	river_shallow
-16	20	ferals	river_shallow
-15	20	ferals	river_shallow
-14	20	ferals	river_shallow
-23	21	ferals	river_shallow
-37	22	no-region	lake_shore
-36	22	no-region	lake_shore
-35	22	no-region	lake_shore
-34	22	no-region	lake_shore
-33	22	no-region	lake_shore
-25	22	ferals	river_shallow
-24	22	ferals	river_shallow
-23	22	ferals	river_shallow
-40	23	no-region	lake_shore
-39	23	no-region	lake_shore
-38	23	no-region	lake_shore
-32	23	no-region	lake_shore
-31	23	no-region	lake_shore
-26	23	ferals	river_shallow
-25	23	ferals	river_shallow
-42	24	no-region	lake_shore
-41	24	no-region	lake_shore
-30	24	no-region	lake_shore
-29	24	no-region	lake_shore
-28	24	ferals	lake_shore
-26	24	ferals	river_shallow
-43	25	no-region	lake_shore
-27	25	ferals	river_shallow
-26	25	ferals	river_shallow
-45	26	no-region	lake_shore
-44	26	no-region	lake_shore
-27	26	ferals	lake_shore
-46	27	no-region	lake_shore
-28	27	no-region	lake_shore
-47	28	no-region	lake_shore
-29	28	no-region	lake_shore
-48	29	no-region	lake_shore
-31	29	no-region	lake_shore
-30	29	no-region	lake_shore
-52	30	no-region	river_stream
-50	30	no-region	lake_shore
-49	30	no-region	lake_shore
-33	30	no-region	lake_shore
-32	30	no-region	lake_shore
-53	31	no-region	lake_shore
-52	31	no-region	river_stream
-51	31	no-region	lake_shore
-34	31	no-region	lake_shore
-55	32	no-region	lake_shore
-54	32	no-region	lake_shore
-52	32	no-region	lake_shallow
-44	32	no-region	lake_shore
-36	32	no-region	lake_shore
-35	32	no-region	lake_shore
-56	33	no-region	lake_shore
-52	33	no-region	lake_shallow
-45	33	no-region	lake_shore
-44	33	no-region	lake_shore
-43	33	no-region	lake_shore
-37	33	no-region	lake_shore
-60	34	no-region	lake_shore
-59	34	no-region	lake_shore
-58	34	no-region	lake_shore
-57	34	no-region	lake_shore
-52	34	no-region	lake_shallow
-51	34	no-region	lake_shallow
-50	34	no-region	lake_deep
-49	34	no-region	lake_deep
-48	34	no-region	lake_deep
-47	34	no-region	lake_deep
-46	34	no-region	lake_shore
-45	34	no-region	grassland
-44	34	no-region	grassland
-43	34	no-region	lake_shore
-37	34	no-region	lake_shore
-61	35	no-region	lake_shore
-52	35	no-region	lake_deep
-46	35	no-region	lake_shore
-45	35	no-region	grassland
-44	35	no-region	lake_shore
-38	35	no-region	lake_shore
-61	36	no-region	lake_shore
-52	36	no-region	lake_deep
-47	36	no-region	lake_shore
-46	36	no-region	grassland
-45	36	no-region	grassland
-44	36	no-region	lake_shore
-38	36	no-region	lake_shore
-62	37	no-region	lake_shore
-52	37	no-region	lake_deep
-47	37	no-region	lake_shore
-46	37	no-region	grassland
-45	37	no-region	grassland
-44	37	no-region	lake_shore
-38	37	no-region	lake_shore
-63	38	no-region	lake_shore
-52	38	no-region	lake_deep
-48	38	no-region	lake_shore
-47	38	no-region	grassland
-46	38	no-region	grassland
-45	38	no-region	lake_shore
-39	38	no-region	lake_shore
-63	39	no-region	lake_shore
-55	39	no-region	lake_shore
-54	39	no-region	lake_shore
-52	39	no-region	lake_deep
-47	39	no-region	lake_shore
-46	39	no-region	lake_shore
-39	39	no-region	lake_shore
-64	40	no-region	lake_shore
-57	40	no-region	lake_shore
-56	40	no-region	lake_shore
-54	40	no-region	lake_shore
-52	40	no-region	lake_deep
-46	40	no-region	lake_deep
-39	40	no-region	lake_shore
-65	41	no-region	lake_shore
-58	41	no-region	lake_shore
-53	41	no-region	lake_shore
-52	41	no-region	lake_deep
-46	41	no-region	lake_deep
-39	41	no-region	lake_shore
-66	42	no-region	lake_shore
-59	42	no-region	lake_shore
-53	42	no-region	lake_shore
-52	42	no-region	lake_deep
-46	42	no-region	lake_deep
-39	42	no-region	lake_shore
-66	43	no-region	lake_shore
-60	43	no-region	lake_shore
-54	43	no-region	lake_shore
-48	43	no-region	lake_shore
-47	43	no-region	lake_shore
-46	43	no-region	lake_shore
-38	43	no-region	lake_shore
-66	44	no-region	lake_shore
-61	44	no-region	lake_shore
-55	44	no-region	lake_shore
-49	44	no-region	lake_shore
-48	44	no-region	grassland
-47	44	no-region	grassland
-46	44	no-region	grassland
-45	44	no-region	lake_shore
-44	44	no-region	lake_shore
-38	44	no-region	lake_shore
-67	45	no-region	lake_shore
-61	45	no-region	lake_shore
-56	45	no-region	lake_shore
-50	45	no-region	lake_shore
-49	45	no-region	grassland
-48	45	no-region	grassland
-47	45	no-region	grassland
-46	45	no-region	grassland
-45	45	no-region	grassland
-44	45	no-region	lake_shore
-39	45	no-region	lake_shore
-67	46	no-region	lake_shore
-61	46	no-region	lake_shore
-57	46	no-region	lake_shore
-50	46	no-region	lake_shore
-47	46	no-region	grassland
-46	46	no-region	grassland
-45	46	no-region	grassland
-44	46	no-region	lake_shore
-40	46	no-region	lake_shore
-68	47	no-region	lake_shore
-61	47	no-region	lake_shore
-56	47	no-region	lake_shore
-49	47	no-region	lake_shore
-45	47	no-region	lake_shore
-39	47	no-region	lake_shore
-69	48	no-region	lake_shore
-62	48	no-region	lake_shore
-55	48	no-region	lake_shore
-49	48	no-region	lake_shore
-44	48	no-region	lake_shore
-39	48	no-region	lake_shore
-69	49	no-region	lake_shore
-63	49	no-region	lake_shore
-55	49	no-region	lake_shore
-49	49	no-region	lake_shore
-44	49	no-region	lake_shore
-38	49	no-region	lake_shore
-68	50	no-region	lake_shore
-63	50	no-region	lake_shore
-55	50	no-region	lake_shore
-50	50	no-region	lake_shore
-45	50	no-region	lake_shore
-37	50	no-region	lake_shore
-68	51	no-region	lake_shore
-62	51	no-region	lake_shore
-56	51	no-region	lake_shore
-50	51	no-region	lake_shore
-46	51	no-region	lake_shore
-37	51	no-region	lake_shore
-69	52	no-region	lake_shore
-61	52	no-region	lake_shore
-57	52	no-region	lake_shore
-49	52	no-region	lake_shore
-46	52	no-region	lake_shore
-37	52	no-region	lake_shore
-70	53	no-region	lake_shore
-60	53	no-region	lake_shore
-59	53	no-region	lake_shore
-58	53	no-region	lake_shore
-48	53	no-region	lake_shore
-47	53	no-region	lake_shore
-38	53	no-region	lake_shore
-71	54	no-region	lake_shore
-39	54	no-region	lake_shore
-71	55	no-region	lake_shore
-39	55	no-region	lake_shore
-71	56	no-region	lake_shore
-39	56	no-region	lake_shore
-72	57	no-region	lake_shore
-38	57	no-region	lake_shore
-72	58	no-region	lake_shore
-38	58	no-region	river_shallow
-72	59	no-region	lake_shore
-38	59	no-region	river_shallow
-71	60	no-region	lake_shore
-62	60	no-region	lake_shore
-61	60	no-region	lake_shore
-60	60	no-region	lake_shore
-59	60	no-region	lake_shore
-53	60	no-region	lake_shore
-52	60	no-region	lake_shore
-38	60	no-region	river_deep
-70	61	no-region	lake_shore
-69	61	no-region	lake_shore
-68	61	no-region	lake_shore
-63	61	no-region	lake_shore
-58	61	no-region	lake_shore
-54	61	no-region	lake_shore
-51	61	no-region	lake_shore
-50	61	no-region	lake_shore
-49	61	no-region	lake_shore
-48	61	no-region	lake_shore
-38	61	no-region	river_deep
-67	62	no-region	lake_shore
-66	62	no-region	lake_shore
-63	62	no-region	lake_shore
-57	62	no-region	lake_shore
-56	62	no-region	lake_shore
-55	62	no-region	lake_shore
-47	62	no-region	lake_shore
-46	62	no-region	lake_shore
-45	62	no-region	lake_shore
-38	62	no-region	river_deep
-65	63	no-region	lake_shore
-64	63	no-region	lake_shore
-44	63	no-region	lake_shore
-43	63	no-region	lake_shore
-42	63	no-region	river_shallow
-38	63	no-region	river_deep
-41	64	no-region	river_shallow
-40	64	no-region	river_shallow
-38	64	no-region	river_shallow
-39	65	no-region	river_shallow
-38	65	no-region	river_shallow
-37	65	no-region	river_shallow
-38	66	no-region	grassland
