X	Y	Region	Terrain
-11	-29	ferals	river_shallow
-10	-29	ferals	grassland
-9	-29	ferals	grassland
-8	-29	ferals	cliff_face_low
-7	-29	ferals	cliff_face_low
-6	-29	ferals	cliff_bottom
-14	-28	ferals	cliff_bottom
-13	-28	ferals	cliff_face_low
-12	-28	ferals	grassland
-11	-28	ferals	river_shallow
-10	-28	ferals	river_shallow
-9	-28	ferals	grassland
-8	-28	ferals	cliff_face_low
-7	-28	ferals	cliff_bottom
-14	-27	ferals	cliff_bottom
-13	-27	ferals	cliff_face_low
-12	-27	ferals	grassland
-11	-27	ferals	grassland
-10	-27	ferals	river_shallow
-9	-27	ferals	grassland
-8	-27	ferals	cliff_face_low
-7	-27	ferals	cliff_bottom
-15	-26	ferals	cliff_bottom
-14	-26	ferals	cliff_face_low
-13	-26	ferals	cliff_face_low
-12	-26	ferals	grassland
-11	-26	ferals	river_shallow
-10	-26	ferals	river_shallow
-9	-26	ferals	grassland
-8	-26	ferals	cliff_face_low
-7	-26	ferals	cliff_bottom
-15	-25	ferals	cliff_bottom
-14	-25	ferals	cliff_face_low
-13	-25	ferals	grassland
-12	-25	ferals	grassland
-11	-25	ferals	river_shallow
-10	-25	ferals	grassland
-9	-25	ferals	grassland
-8	-25	ferals	cliff_face_low
-7	-25	ferals	cliff_bottom
-15	-24	ferals	cliff_bottom
-14	-24	ferals	cliff_face_low
-13	-24	ferals	grassland
-12	-24	ferals	river_shallow
-11	-24	ferals	river_shallow
-10	-24	ferals	grassland
-9	-24	ferals	cliff_face_low
-8	-24	ferals	cliff_face_low
-7	-24	ferals	cliff_bottom
-15	-23	ferals	cliff_bottom
-14	-23	ferals	cliff_face_low
-13	-23	ferals	grassland
-12	-23	ferals	river_shallow
-11	-23	ferals	grassland
-10	-23	ferals	grassland
-9	-23	ferals	cliff_face_low
-8	-23	ferals	cliff_bottom
-15	-22	ferals	cliff_bottom
-14	-22	ferals	cliff_face_low
-13	-22	ferals	grassland
-12	-22	ferals	river_shallow
-11	-22	ferals	grassland
-10	-22	ferals	cliff_face_low
-9	-22	ferals	cliff_face_low
-8	-22	ferals	cliff_bottom
-15	-21	ferals	cliff_bottom
-14	-21	ferals	cliff_face_low
-13	-21	ferals	grassland
-12	-21	ferals	river_shallow
-11	-21	ferals	grassland
-10	-21	ferals	grassland
-9	-21	ferals	cliff_face_low
-8	-21	ferals	cliff_bottom
-15	-20	ferals	cliff_bottom
-14	-20	ferals	cliff_face_low
-13	-20	ferals	grassland
-12	-20	ferals	river_shallow
-11	-20	ferals	river_shallow
-10	-20	ferals	grassland
-9	-20	ferals	cliff_face_low
-8	-20	ferals	cliff_face_low
-7	-20	ferals	cliff_bottom
-15	-19	ferals	cliff_bottom
-14	-19	ferals	cliff_bottom
-13	-19	ferals	grassland
-12	-19	ferals	grassland
-11	-19	ferals	river_shallow
-10	-19	ferals	grassland
-9	-19	ferals	grassland
-8	-19	ferals	cliff_face_low
-7	-19	ferals	cliff_bottom
-14	-18	ferals	cliff_bottom
-13	-18	ferals	cliff_bottom
-12	-18	ferals	grassland
-11	-18	ferals	river_shallow
-10	-18	ferals	river_shallow
-9	-18	ferals	grassland
-8	-18	ferals	grassland
-7	-18	ferals	cliff_bottom
-13	-17	ferals	cliff_bottom
-12	-17	ferals	grassland
-11	-17	ferals	grassland
-10	-17	ferals	river_shallow
-9	-17	ferals	grassland
-8	-17	ferals	grassland
-7	-17	ferals	grassland
-6	-17	ferals	cliff_bottom
-2	-17	ferals	hill_low_side
-1	-17	ferals	hill_low_side
-13	-16	ferals	cliff_bottom
-12	-16	ferals	grassland
-11	-16	ferals	grassland
-10	-16	ferals	river_shallow
-9	-16	ferals	grassland
-8	-16	ferals	grassland
-7	-16	ferals	grassland
-6	-16	ferals	grassland
-5	-16	ferals	cliff_bottom
-4	-16	ferals	cliff_bottom
-3	-16	ferals	hill_low_side
-2	-16	ferals	hill_low_side
-1	-16	ferals	hill_mid_side
0	-16	ferals	hill_low_side
-13	-15	ferals	cliff_bottom
-12	-15	ferals	grassland
-11	-15	ferals	river_shallow
-10	-15	ferals	river_shallow
-9	-15	ferals	grassland
-8	-15	ferals	grassland
-7	-15	ferals	grassland
-6	-15	ferals	grassland
-5	-15	ferals	grassland
-4	-15	ferals	cliff_bottom
-3	-15	ferals	hill_low_side
-2	-15	ferals	hill_mid_side
-1	-15	ferals	hill_high_side
0	-15	ferals	hill_mid_side
1	-15	ferals	hill_low_side
-13	-14	ferals	cliff_bottom
-12	-14	ferals	grassland
-11	-14	ferals	river_shallow
-10	-14	ferals	grassland
-9	-14	ferals	grassland
-8	-14	ferals	grassland
-7	-14	ferals	grassland
-6	-14	ferals	grassland
-5	-14	ferals	grassland
-4	-14	ferals	hill_low_side
-3	-14	ferals	hill_mid_side
-2	-14	ferals	hill_high_side
-1	-14	ferals	hill_high_top
0	-14	ferals	hill_high_side
1	-14	ferals	hill_mid_side
2	-14	ferals	hill_low_side
-13	-13	ferals	cliff_bottom
-12	-13	ferals	grassland
-11	-13	ferals	river_shallow
-10	-13	ferals	grassland
-9	-13	ferals	grassland
-8	-13	ferals	grassland
-7	-13	ferals	grassland
-6	-13	ferals	grassland
-5	-13	ferals	hill_low_side
-4	-13	ferals	hill_mid_side
-3	-13	ferals	hill_mid_top
-2	-13	ferals	hill_high_side
-1	-13	ferals	river_rapids
0	-13	ferals	hill_high_side
1	-13	ferals	hill_mid_side
2	-13	ferals	hill_low_side
-17	-12	ferals	grassland
-16	-12	ferals	grassland
-15	-12	ferals	cliff_bottom
-14	-12	ferals	cliff_bottom
-13	-12	ferals	grassland
-12	-12	ferals	grassland
-11	-12	ferals	river_shallow
-10	-12	ferals	grassland
-9	-12	ferals	grassland
-8	-12	ferals	grassland
-7	-12	ferals	grassland
-6	-12	ferals	grassland
-5	-12	ferals	grassland
-4	-12	ferals	hill_low_side
-3	-12	ferals	hill_mid_side
-2	-12	ferals	river_rapids
-1	-12	ferals	river_rapids
0	-12	ferals	hill_high_side
1	-12	ferals	hill_mid_side
2	-12	ferals	hill_low_side
-18	-11	ferals	grassland
-17	-11	ferals	grassland
-16	-11	ferals	grassland
-15	-11	ferals	grassland
-14	-11	ferals	grassland
-13	-11	ferals	grassland
-12	-11	ferals	grassland
-11	-11	ferals	river_shallow
-10	-11	ferals	river_shallow
-9	-11	ferals	grassland
-8	-11	ferals	grassland
-7	-11	ferals	grassland
-6	-11	ferals	grassland
-5	-11	ferals	grassland
-4	-11	ferals	hill_low_side
-3	-11	ferals	hill_low_side
-2	-11	ferals	river_stream
-1	-11	ferals	hill_mid_side
0	-11	ferals	hill_mid_top
1	-11	ferals	hill_mid_side
2	-11	ferals	hill_low_side
-56	-10	northern_crags	hill_low_side
-55	-10	northern_crags	hill_low_side
-54	-10	northern_crags	hill_low_side
-53	-10	northern_crags	hill_low_side
-52	-10	northern_crags	hill_low_side
-51	-10	northern_crags	hill_low_side
-50	-10	northern_crags	hill_low_side
-49	-10	northern_crags	hill_low_side
-48	-10	northern_crags	hill_low_side
-47	-10	northern_crags	hill_low_side
-46	-10	northern_crags	hill_low_side
-19	-10	ferals	grassland
-18	-10	ferals	grassland
-17	-10	ferals	grassland
-16	-10	ferals	grassland
-15	-10	ferals	grassland
-14	-10	ferals	grassland
-13	-10	ferals	grassland
-12	-10	ferals	grassland
-11	-10	ferals	grassland
-10	-10	ferals	river_shallow
-9	-10	ferals	river_shallow
-8	-10	ferals	grassland
-7	-10	ferals	grassland
-6	-10	ferals	grassland
-5	-10	ferals	grassland
-4	-10	ferals	grassland
-3	-10	ferals	hill_low_side
-2	-10	ferals	river_stream
-1	-10	ferals	hill_low_side
0	-10	ferals	hill_mid_side
1	-10	ferals	hill_low_side
2	-10	ferals	hill_low_side
-57	-9	northern_crags	hill_low_side
-56	-9	northern_crags	hill_low_side
-55	-9	northern_crags	hill_mid_side
-54	-9	northern_crags	hill_mid_side
-53	-9	northern_crags	hill_mid_side
-52	-9	northern_crags	hill_mid_side
-51	-9	northern_crags	hill_mid_side
-50	-9	northern_crags	hill_mid_side
-49	-9	northern_crags	hill_mid_side
-48	-9	northern_crags	hill_mid_side
-47	-9	northern_crags	hill_mid_side
-46	-9	northern_crags	hill_low_side
-45	-9	northern_crags	hill_low_side
-19	-9	ferals	grassland
-18	-9	ferals	grassland
-17	-9	ferals	grassland
-16	-9	ferals	grassland
-15	-9	ferals	grassland
-14	-9	ferals	grassland
-13	-9	ferals	grassland
-12	-9	ferals	grassland
-11	-9	ferals	grassland
-10	-9	ferals	grassland
-9	-9	ferals	river_shallow
-8	-9	ferals	river_shallow
-7	-9	ferals	grassland
-6	-9	ferals	grassland
-5	-9	ferals	grassland
-4	-9	ferals	grassland
-3	-9	ferals	grassland
-2	-9	ferals	river_stream
-1	-9	ferals	grassland
0	-9	ferals	hill_low_side
1	-9	ferals	hill_low_side
-58	-8	northern_crags	hill_low_side
-57	-8	northern_crags	hill_low_side
-56	-8	northern_crags	hill_mid_side
-55	-8	northern_crags	hill_high_side
-54	-8	northern_crags	hill_high_side
-53	-8	northern_crags	hill_high_side
-52	-8	northern_crags	hill_high_side
-51	-8	northern_crags	hill_high_side
-50	-8	northern_crags	hill_high_side
-49	-8	northern_crags	hill_high_side
-48	-8	northern_crags	hill_high_side
-47	-8	northern_crags	hill_high_side
-46	-8	northern_crags	hill_mid_side
-45	-8	northern_crags	hill_low_side
-44	-8	northern_crags	hill_low_side
-21	-8	ferals	grassland
-20	-8	ferals	grassland
-19	-8	ferals	grassland
-18	-8	ferals	grassland
-17	-8	ferals	grassland
-16	-8	ferals	grassland
-15	-8	ferals	hill_low_side
-14	-8	ferals	hill_low_side
-13	-8	ferals	hill_low_side
-12	-8	ferals	grassland
-11	-8	ferals	grassland
-10	-8	ferals	grassland
-9	-8	ferals	grassland
-8	-8	ferals	river_shallow
-7	-8	ferals	grassland
-6	-8	ferals	grassland
-5	-8	ferals	grassland
-4	-8	ferals	river_stream
-3	-8	ferals	river_stream
-2	-8	ferals	river_stream
-1	-8	ferals	grassland
0	-8	ferals	grassland
1	-8	ferals	grassland
2	-8	ferals	grassland
3	-8	ferals	grassland
4	-8	ferals	grassland
-58	-7	northern_crags	hill_low_side
-57	-7	northern_crags	hill_mid_side
-56	-7	northern_crags	hill_high_side
-55	-7	northern_crags	cliff_face_high
-54	-7	northern_crags	cliff_face_high
-53	-7	northern_crags	cliff_face_high
-52	-7	northern_crags	cliff_face_high
-51	-7	northern_crags	cliff_face_high
-50	-7	northern_crags	cliff_face_high
-49	-7	northern_crags	cliff_face_high
-48	-7	northern_crags	cliff_face_high
-47	-7	northern_crags	hill_high_side
-46	-7	northern_crags	hill_high_side
-45	-7	northern_crags	hill_mid_side
-44	-7	northern_crags	hill_low_side
-43	-7	northern_crags	hill_low_side
-22	-7	ferals	grassland
-21	-7	ferals	grassland
-20	-7	ferals	grassland
-19	-7	ferals	grassland
-18	-7	ferals	hill_low_side
-17	-7	ferals	hill_low_side
-16	-7	ferals	hill_low_side
-15	-7	ferals	hill_low_top
-14	-7	ferals	hill_low_top
-13	-7	ferals	hill_low_top
-12	-7	ferals	hill_low_side
-11	-7	ferals	grassland
-10	-7	ferals	grassland
-9	-7	ferals	grassland
-8	-7	ferals	river_shallow
-7	-7	ferals	grassland
-6	-7	ferals	grassland
-5	-7	ferals	river_stream
-4	-7	ferals	river_stream
-3	-7	ferals	grassland
-2	-7	ferals	grassland
-1	-7	ferals	grassland
0	-7	ferals	grassland
1	-7	ferals	grassland
2	-7	ferals	grassland
3	-7	ferals	grassland
4	-7	ferals	grassland
-58	-6	northern_crags	hill_low_side
-57	-6	northern_crags	hill_mid_side
-56	-6	northern_crags	hill_high_side
-55	-6	northern_crags	cliff_face_high
-54	-6	northern_crags	cliff_bottom
-53	-6	northern_crags	cliff_bottom
-52	-6	northern_crags	cliff_bottom
-51	-6	northern_crags	cliff_bottom
-50	-6	northern_crags	cliff_bottom
-49	-6	northern_crags	cliff_bottom
-48	-6	northern_crags	cliff_face_high
-47	-6	northern_crags	cliff_face_high
-46	-6	northern_crags	hill_high_side
-45	-6	northern_crags	hill_high_side
-44	-6	northern_crags	hill_mid_side
-43	-6	northern_crags	hill_low_side
-25	-6	ferals	grassland
-23	-6	ferals	grassland
-22	-6	ferals	grassland
-21	-6	ferals	grassland
-20	-6	ferals	grassland
-19	-6	ferals	hill_low_side
-18	-6	ferals	hill_low_top
-17	-6	ferals	hill_low_top
-16	-6	ferals	hill_low_top
-15	-6	ferals	hill_mid_side
-14	-6	ferals	hill_mid_side
-13	-6	ferals	hill_mid_side
-12	-6	ferals	hill_low_top
-11	-6	ferals	hill_low_side
-10	-6	ferals	grassland
-9	-6	ferals	grassland
-8	-6	ferals	river_shallow
-7	-6	ferals	river_shallow
-6	-6	ferals	river_stream
-5	-6	ferals	river_stream
-4	-6	ferals	grassland
-3	-6	ferals	grassland
-2	-6	ferals	hill_low_side
-1	-6	ferals	hill_low_side
0	-6	ferals	hill_low_side
1	-6	ferals	hill_low_side
2	-6	ferals	hill_low_side
3	-6	ferals	grassland
-58	-5	northern_crags	hill_low_side
-57	-5	northern_crags	hill_mid_side
-56	-5	northern_crags	hill_high_side
-55	-5	northern_crags	cliff_face_high
-54	-5	northern_crags	cliff_bottom
-53	-5	northern_crags	rockyflat
-52	-5	northern_crags	rockyflat
-51	-5	northern_crags	rockyflat
-50	-5	northern_crags	rockyflat
-49	-5	northern_crags	cliff_bottom
-48	-5	northern_crags	cliff_bottom
-47	-5	northern_crags	cliff_face_high
-46	-5	northern_crags	cliff_face_high
-45	-5	northern_crags	hill_high_side
-44	-5	northern_crags	hill_mid_side
-43	-5	northern_crags	hill_low_side
-42	-5	northern_crags	hill_low_side
-26	-5	ferals	grassland
-25	-5	ferals	grassland
-24	-5	ferals	grassland
-23	-5	ferals	grassland
-22	-5	ferals	grassland
-21	-5	ferals	grassland
-20	-5	ferals	hill_low_side
-19	-5	ferals	hill_low_top
-18	-5	ferals	hill_low_top
-17	-5	ferals	hill_mid_side
-16	-5	ferals	hill_mid_side
-15	-5	ferals	hill_mid_side
-14	-5	ferals	hill_mid_top
-13	-5	ferals	hill_mid_side
-12	-5	ferals	hill_mid_side
-11	-5	ferals	hill_low_top
-10	-5	ferals	hill_low_side
-9	-5	ferals	grassland
-8	-5	ferals	river_shallow
-7	-5	ferals	grassland
-6	-5	ferals	grassland
-5	-5	ferals	grassland
-4	-5	ferals	hill_low_side
-3	-5	ferals	hill_low_side
-2	-5	ferals	hill_low_side
-1	-5	ferals	hill_low_top
0	-5	ferals	hill_low_top
1	-5	ferals	hill_low_top
2	-5	ferals	hill_low_side
3	-5	ferals	grassland
4	-5	ferals	grassland
5	-5	ferals	grassland
-59	-4	northern_crags	hill_low_side
-58	-4	northern_crags	hill_low_side
-57	-4	northern_crags	hill_mid_side
-56	-4	northern_crags	hill_high_side
-55	-4	northern_crags	cliff_face_high
-54	-4	northern_crags	cliff_bottom
-53	-4	northern_crags	rockyflat
-52	-4	northern_crags	hotspring
-51	-4	northern_crags	hotspring
-50	-4	northern_crags	rockyflat
-49	-4	northern_crags	rockyflat
-48	-4	northern_crags	cliff_bottom
-47	-4	northern_crags	cliff_bottom
-46	-4	northern_crags	cliff_face_high
-45	-4	northern_crags	hill_high_side
-44	-4	northern_crags	hill_high_side
-43	-4	northern_crags	hill_mid_side
-42	-4	northern_crags	hill_low_side
-25	-4	ferals	grassland
-24	-4	ferals	grassland
-23	-4	ferals	grassland
-22	-4	ferals	grassland
-21	-4	ferals	hill_low_side
-20	-4	ferals	hill_low_top
-19	-4	ferals	hill_low_top
-18	-4	ferals	hill_mid_side
-17	-4	ferals	hill_mid_side
-16	-4	ferals	hill_mid_top
-15	-4	ferals	hill_mid_top
-14	-4	ferals	hill_mid_top
-13	-4	ferals	hill_mid_top
-12	-4	ferals	hill_mid_side
-11	-4	ferals	hill_low_top
-10	-4	ferals	hill_low_side
-9	-4	ferals	grassland
-8	-4	ferals	river_shallow
-7	-4	ferals	grassland
-6	-4	ferals	grassland
-5	-4	ferals	hill_low_side
-4	-4	ferals	hill_low_top
-3	-4	ferals	hill_low_top
-2	-4	ferals	hill_low_top
-1	-4	ferals	hill_low_top
0	-4	ferals	hill_low_top
1	-4	ferals	hill_low_top
2	-4	ferals	hill_low_side
3	-4	ferals	grassland
4	-4	ferals	grassland
5	-4	ferals	grassland
-60	-3	northern_crags	hill_low_side
-59	-3	northern_crags	hill_low_side
-58	-3	northern_crags	hill_mid_side
-57	-3	northern_crags	hill_mid_side
-56	-3	northern_crags	hill_high_side
-55	-3	northern_crags	cliff_face_high
-54	-3	northern_crags	cliff_bottom
-53	-3	northern_crags	rockyflat
-52	-3	northern_crags	hotspring
-51	-3	northern_crags	hotspring
-50	-3	northern_crags	hotspring
-49	-3	northern_crags	rockyflat
-48	-3	northern_crags	rockyflat
-47	-3	northern_crags	cliff_bottom
-46	-3	northern_crags	cliff_face_high
-45	-3	northern_crags	cliff_face_high
-44	-3	northern_crags	hill_high_side
-43	-3	northern_crags	hill_mid_side
-42	-3	northern_crags	hill_low_side
-25	-3	ferals	grassland
-24	-3	ferals	grassland
-23	-3	ferals	grassland
-22	-3	ferals	hill_low_side
-21	-3	ferals	hill_low_top
-20	-3	ferals	hill_low_top
-19	-3	ferals	hill_mid_side
-18	-3	ferals	hill_mid_side
-17	-3	ferals	hill_mid_top
-16	-3	ferals	hill_mid_top
-15	-3	ferals	hill_mid_top
-14	-3	ferals	hill_mid_top
-13	-3	ferals	hill_mid_side
-12	-3	ferals	hill_mid_side
-11	-3	ferals	hill_low_top
-10	-3	ferals	hill_low_side
-9	-3	ferals	grassland
-8	-3	ferals	river_shallow
-7	-3	ferals	grassland
-6	-3	ferals	hill_low_side
-5	-3	ferals	hill_low_top
-4	-3	ferals	hill_low_top
-3	-3	ferals	hill_mid_side
-2	-3	ferals	hill_mid_side
-1	-3	ferals	hill_mid_side
0	-3	ferals	hill_low_top
1	-3	ferals	hill_low_top
2	-3	ferals	hill_low_side
3	-3	ferals	hill_low_side
4	-3	ferals	grassland
5	-3	ferals	grassland
-60	-2	northern_crags	hill_low_side
-59	-2	northern_crags	hill_mid_side
-58	-2	northern_crags	hill_high_side
-57	-2	northern_crags	hill_high_side
-56	-2	northern_crags	hill_high_side
-55	-2	northern_crags	cliff_face_high
-54	-2	northern_crags	cliff_bottom
-53	-2	northern_crags	rockyflat
-52	-2	northern_crags	rockyflat
-51	-2	northern_crags	hotspring
-50	-2	northern_crags	river_stream
-49	-2	northern_crags	rockyflat
-48	-2	northern_crags	rockyflat
-47	-2	northern_crags	cliff_bottom
-46	-2	northern_crags	cliff_bottom
-45	-2	northern_crags	cliff_face_high
-44	-2	northern_crags	hill_high_side
-43	-2	northern_crags	hill_mid_side
-42	-2	northern_crags	hill_low_side
-41	-2	northern_crags	hill_low_side
-24	-2	ferals	grassland
-23	-2	ferals	grassland
-22	-2	ferals	hill_low_side
-21	-2	ferals	hill_low_top
-20	-2	ferals	hill_low_top
-19	-2	ferals	hill_low_top
-18	-2	ferals	hill_mid_side
-17	-2	ferals	hill_mid_side
-16	-2	ferals	hill_mid_top
-15	-2	ferals	hill_mid_top
-14	-2	ferals	hill_mid_top
-13	-2	ferals	hill_mid_side
-12	-2	ferals	hill_low_top
-11	-2	ferals	hill_low_side
-10	-2	ferals	grassland
-9	-2	ferals	grassland
-8	-2	ferals	river_shallow
-7	-2	ferals	grassland
-6	-2	ferals	hill_low_side
-5	-2	ferals	hill_mid_side
-4	-2	ferals	hill_mid_side
-3	-2	ferals	hill_mid_side
-2	-2	ferals	hill_mid_top
-1	-2	ferals	hill_mid_side
0	-2	ferals	hill_mid_side
1	-2	ferals	hill_mid_side
2	-2	ferals	hill_low_side
3	-2	ferals	hill_low_side
4	-2	ferals	grassland
5	-2	ferals	grassland
-61	-1	northern_crags	hill_low_side
-60	-1	northern_crags	hill_low_side
-59	-1	northern_crags	hill_mid_side
-58	-1	northern_crags	hill_high_side
-57	-1	northern_crags	cliff_face_high
-56	-1	northern_crags	cliff_face_high
-55	-1	northern_crags	cliff_face_high
-54	-1	northern_crags	cliff_bottom
-53	-1	northern_crags	rockyflat
-52	-1	northern_crags	rockyflat
-51	-1	northern_crags	rockyflat
-50	-1	northern_crags	river_stream
-49	-1	northern_crags	rockyflat
-48	-1	northern_crags	rockyflat
-47	-1	northern_crags	rockyflat
-46	-1	northern_crags	cliff_bottom
-45	-1	northern_crags	cliff_face_high
-44	-1	northern_crags	hill_high_side
-43	-1	northern_crags	hill_high_side
-42	-1	northern_crags	hill_mid_side
-41	-1	northern_crags	hill_low_side
-23	-1	ferals	grassland
-22	-1	ferals	grassland
-21	-1	ferals	hill_low_side
-20	-1	ferals	hill_low_side
-19	-1	ferals	hill_low_top
-18	-1	ferals	hill_low_top
-17	-1	ferals	hill_mid_side
-16	-1	ferals	hill_mid_side
-15	-1	ferals	hill_mid_side
-14	-1	ferals	hill_mid_side
-13	-1	ferals	hill_low_top
-12	-1	ferals	hill_low_side
-11	-1	ferals	grassland
-10	-1	ferals	grassland
-9	-1	ferals	grassland
-8	-1	ferals	river_shallow
-7	-1	ferals	grassland
-6	-1	ferals	grassland
-5	-1	ferals	hill_mid_side
-4	-1	ferals	hill_mid_top
-3	-1	ferals	hill_mid_top
-2	-1	ferals	hill_mid_top
-1	-1	ferals	hill_mid_top
0	-1	ferals	hill_mid_top
1	-1	ferals	hill_mid_side
2	-1	ferals	hill_mid_side
3	-1	ferals	hill_low_side
4	-1	ferals	grassland
5	-1	ferals	grassland
-63	0	northern_crags	hill_low_side
-62	0	northern_crags	hill_low_side
-61	0	northern_crags	hill_low_side
-60	0	northern_crags	hill_mid_side
-59	0	northern_crags	hill_high_side
-58	0	northern_crags	hill_high_side
-57	0	northern_crags	cliff_face_high
-56	0	northern_crags	cliff_bottom
-55	0	northern_crags	cliff_bottom
-54	0	northern_crags	cliff_bottom
-53	0	northern_crags	rockyflat
-52	0	northern_crags	rockyflat
-51	0	northern_crags	river_stream
-50	0	northern_crags	river_stream
-49	0	northern_crags	rockyflat
-48	0	northern_crags	rockyflat
-47	0	northern_crags	rockyflat
-46	0	northern_crags	cliff_bottom
-45	0	northern_crags	cliff_face_high
-44	0	northern_crags	cliff_face_high
-43	0	northern_crags	hill_high_side
-42	0	northern_crags	hill_mid_side
-41	0	northern_crags	hill_low_side
-23	0	ferals	grassland
-22	0	ferals	grassland
-21	0	ferals	grassland
-20	0	ferals	grassland
-19	0	ferals	hill_low_side
-18	0	ferals	hill_low_side
-17	0	ferals	hill_low_top
-16	0	ferals	hill_low_top
-15	0	ferals	hill_low_top
-14	0	ferals	hill_low_top
-13	0	ferals	hill_low_top
-12	0	ferals	hill_low_side
-11	0	ferals	grassland
-10	0	ferals	grassland
-9	0	ferals	grassland
-8	0	ferals	river_shallow
-7	0	ferals	hill_mid_side
-6	0	ferals	hill_mid_side
-5	0	ferals	hill_mid_side
-4	0	ferals	hill_mid_top
-3	0	ferals	hill_mid_top
-2	0	ferals	hill_mid_top
-1	0	ferals	hill_mid_top
0	0	ferals	hill_mid_top
1	0	ferals	hill_mid_top
2	0	ferals	hill_mid_side
3	0	ferals	hill_low_side
4	0	ferals	grassland
5	0	ferals	grassland
-64	1	northern_crags	hill_low_side
-63	1	northern_crags	hill_low_side
-62	1	northern_crags	hill_mid_side
-61	1	northern_crags	hill_mid_side
-60	1	northern_crags	hill_mid_side
-59	1	northern_crags	hill_high_side
-58	1	northern_crags	cliff_face_high
-57	1	northern_crags	cliff_face_high
-56	1	northern_crags	cliff_bottom
-55	1	northern_crags	rockyflat
-54	1	northern_crags	rockyflat
-53	1	northern_crags	rockyflat
-52	1	northern_crags	rockyflat
-51	1	northern_crags	river_stream
-50	1	northern_crags	rockyflat
-49	1	northern_crags	rockyflat
-48	1	northern_crags	rockyflat
-47	1	northern_crags	rockyflat
-46	1	northern_crags	cliff_bottom
-45	1	northern_crags	cliff_bottom
-44	1	northern_crags	cliff_face_high
-43	1	northern_crags	hill_high_side
-42	1	northern_crags	hill_mid_side
-41	1	northern_crags	hill_low_side
-22	1	ferals	grassland
-21	1	ferals	grassland
-20	1	ferals	grassland
-19	1	ferals	grassland
-18	1	ferals	grassland
-17	1	ferals	hill_low_side
-16	1	ferals	hill_low_side
-15	1	ferals	hill_low_side
-14	1	ferals	hill_low_top
-13	1	ferals	hill_low_side
-12	1	ferals	grassland
-11	1	ferals	grassland
-10	1	ferals	grassland
-9	1	ferals	river_shallow
-8	1	ferals	river_shallow
